//Item key;item id;item meta;label (indicative only)
//This file is auto-generated and indicative only. Don't edit it.

parchment_indianfull;millenaire:parchment_indianfull;0;Parchement indien complet
parchment_indianitems;millenaire:parchment_indianitems;0;Objets indiens
parchment_indianvillagers;millenaire:parchment_indianvillagers;0;Villageois indiens
parchment_japanesebuildings;millenaire:parchment_japanesebuildings;0;Bâtiments japonais
parchment_japanesefull;millenaire:parchment_japanesefull;0;Parchemin japonais complet
parchment_japaneseitems;millenaire:parchment_japaneseitems;0;Objets japonais
parchment_japanesevillagers;millenaire:parchment_japanesevillagers;0;Villageois japonais
parchment_mayanbuildings;millenaire:parchment_mayanbuildings;0;Bâtiments mayas
parchment_mayanfull;millenaire:parchment_mayanfull;0;Parchemin maya complet
parchment_mayanitems;millenaire:parchment_mayanitems;0;Objets mayas
parchment_mayanvillagers;millenaire:parchment_mayanvillagers;0;Villageois mayas
parchment_normanbuildings;millenaire:parchment_normanbuildings;0;Bâtiments normands
parchment_normanfull;millenaire:parchment_normanfull;0;Parchemin normand complet
parchment_normanitems;millenaire:parchment_normanitems;0;Objets normands
parchment_normanvillagers;millenaire:parchment_normanvillagers;0;Villageois normands
parchment_sadhu;millenaire:parchment_sadhu;0;Livre du Sadhu
pathdirt;millenaire:pathdirt;0;Chemin de terre
pathdirt_slab;millenaire:pathdirt_slab;0;Chemin de terre
pathgravel;millenaire:pathgravel;0;Chemin de graviers
pathgravel_slab;millenaire:pathgravel_slab;0;Chemin de graviers
pathgravelslabs;millenaire:pathgravelslabs;0;Chemin de dalles et graviers
pathgravelslabs_slab;millenaire:pathgravelslabs_slab;0;Chemin de dalles et graviers
pathochretiles;millenaire:pathochretiles;0;Chemin de dalles ochres
pathochretiles_slab;millenaire:pathochretiles_slab;0;Chemin de dalles ochres
pathsandstone;millenaire:pathsandstone;0;Chemin de dalles de grès
pathsandstone_slab;millenaire:pathsandstone_slab;0;Chemin de dalles de grès
pathslabs;millenaire:pathslabs;0;Chemin de dalles
pathslabs_slab;millenaire:pathslabs_slab;0;Chemin de dalles
planks_acacia;minecraft:planks;4;Planches d'acacia
planks_birch;minecraft:planks;2;Planches de bouleau
planks_darkoak;minecraft:planks;5;Planches de chêne noir
planks_jungle;minecraft:planks;3;Planches d'acajou
planks_oak;minecraft:planks;0;Planches de chêne
planks_pine;minecraft:planks;1;Planches de sapin
porkchops;minecraft:porkchop;0;Côtelette de porc crue
porkchopscooked;minecraft:cooked_porkchop;0;Côtelette de porc cuite
potato;minecraft:potato;0;Pomme de terre
pumpkin;minecraft:pumpkin;0;Citrouille
pumpkinseeds;minecraft:pumpkin_seeds;0;Graines de citrouille
purse;millenaire:purse;0;Bourse à deniers
rasgulla;millenaire:rasgulla;0;Rasgulla
redflower;minecraft:red_flower;0;Coquelicot
redstone;minecraft:redstone;0;Redstone
rice;millenaire:rice;0;Riz
rottenflesh;minecraft:rotten_flesh;0;Chair putréfiée
saddle;minecraft:saddle;0;Selle
sake;millenaire:sake;0;Saké
sand;minecraft:sand;0;Sable
sandstone;minecraft:sandstone;0;Grès
sapling;minecraft:sapling;0;Pousse de chêne
sapling_acacia;minecraft:sapling;4;Pousse d'acacia
sapling_birch;minecraft:sapling;2;Pousse de bouleau
sapling_darkoak;minecraft:sapling;5;Pousse de chêne noir
sapling_jungle;minecraft:sapling;3;Pousse d'acajou
sapling_pine;minecraft:sapling;1;Pousse de sapin
seeds;minecraft:wheat_seeds;0;Graines de blé
shears;minecraft:shears;0;Cisailles
silk;millenaire:silk;0;Soie
silkwormempty;millenaire:wood_deco;3;Colombages
silkwormfull;millenaire:wood_deco;4;Colombages
skoll_hati_amulet;millenaire:skoll_hati_amulet;0;Amulette de Sköll et Hati
slimeball;minecraft:slime_ball;0;Boule de Slime
snow;minecraft:snow;0;Neige
souvlaki;millenaire:souvlaki;0;Souvláki
spidereye;minecraft:spider_eye;0;Oeil d'araignée
steelaxe;minecraft:iron_axe;0;Hache en fer
steelboots;minecraft:iron_boots;0;Bottes en fer
steelchest;minecraft:iron_chestplate;0;Plastron en fer
steelhelmet;minecraft:iron_helmet;0;Casque en fer
steelhoe;minecraft:iron_hoe;0;Houe en fer
steellegs;minecraft:iron_leggings;0;Jambières en fer
steelpickaxe;minecraft:iron_pickaxe;0;Pioche en fer
steelshovel;minecraft:iron_shovel;0;Pelle en fer
steelsword;minecraft:iron_sword;0;Épée en fer
stone;minecraft:stone;0;Roche
stoneaxe;minecraft:stone_axe;0;Hache en pierre
stonebrick;minecraft:stonebrick;0;Pierre taillée
stonehoe;minecraft:stone_hoe;0;Houe en pierre
stonepickaxe;minecraft:stone_pickaxe;0;Pioche en pierre
stoneshovel;minecraft:stone_shovel;0;Pelle en pierre
stonesword;minecraft:stone_sword;0;Épée en pierre
string;minecraft:string;0;Ficelle
sugarcane;minecraft:reeds;0;Canne à sucre
summoningwand;millenaire:summoningwand;0;Baguette d'invocation
tachisword;millenaire:tachisword;0;Tachi
tapestry;millenaire:tapestry;0;Tapisserie normande
thatch;millenaire:wood_deco;2;Chaume
timberframecross;millenaire:wood_deco;1;Colombages à croix
timberframeplain;millenaire:wood_deco;0;Colombages
tnt;minecraft:tnt;0;TNT
tripes;millenaire:tripes;0;Tripes
turmeric;millenaire:turmeric;0;Curcuma
udon;millenaire:udon;0;Udon
unknownpowder;millenaire:unknownpowder;0;Poudre inconnue
vegcurry;millenaire:vegcurry;0;Carri végétarien
vines;minecraft:vine;0;Lianes
vishnu_amulet;millenaire:vishnu_amulet;0;Amulette de Vishnu
wah;millenaire:wah;0;Wah
wheat;minecraft:wheat;0;Blé
winebasic;millenaire:winebasic;0;Vin
winefancy;millenaire:winefancy;0;Vin Malvasia
wood;minecraft:log;0;
wood_acacia;minecraft:log2;0;
wood_any;minecraft:log;-1;
wood_birch;minecraft:log;2;
wood_darkoak;minecraft:log2;1;
wood_jungle;minecraft:log;3;
wood_oak;minecraft:log;0;
wood_pine;minecraft:log;1;
woodaxe;minecraft:wooden_axe;0;Hache en bois
woodhoe;minecraft:wooden_hoe;0;Houe en bois
woodpickaxe;minecraft:wooden_pickaxe;0;Pioche en bois
woodshovel;minecraft:wooden_shovel;0;Pelle en bois
woodsword;minecraft:wooden_sword;0;Épée en bois
wool_black;minecraft:wool;15;Laine noire
wool_blue;minecraft:wool;11;Laine bleue
wool_brown;minecraft:wool;12;Laine marron
wool_cyan;minecraft:wool;9;Laine cyan
wool_gray;minecraft:wool;7;Laine grise
wool_green;minecraft:wool;13;Laine verte
wool_lightblue;minecraft:wool;3;Laine bleu clair
wool_lightgray;minecraft:wool;8;Laine gris clair
wool_limegreen;minecraft:wool;5;Laine vert clair
wool_magenta;minecraft:wool;2;Laine magenta
wool_orange;minecraft:wool;1;Laine orange
wool_pink;minecraft:wool;6;Laine rose
wool_purple;minecraft:wool;10;Laine violette
wool_red;minecraft:wool;14;Laine rouge
wool_white;minecraft:wool;0;Laine blanche
wool_yellow;minecraft:wool;4;Laine jaune
yellowflower;minecraft:yellow_flower;0;Pissenlit
yggdrasil_amulet;millenaire:yggdrasil_amulet;0;Amulette d'Yggdrasil
yumibow;millenaire:yumibow;0;Arc Yumi
